,Levenshtein distance
NLB015569_01,0
NLB138219_01,8
NLB072886_01,9
NLB071666_01,10
NLB072886_02,10
NLB072299_01,12
NLB071441_01,12
NLB072306_01,12
NLB072311_01,13
NLB073150_01,13
NLB072248_01,14
NLB074333_01,16
NLB071974_02,16
NLB072253_01,17
NLB135273_01,17
NLB070079_01,17
NLB134480_01,17
NLB073326_01,18
NLB074260_01,18
NLB074216_01,18
NLB072256_01,18
NLB072359_01,18
NLB147912_01,19
NLB074962_01,19
NLB074390_01,19
NLB075525_01,19
NLB075040_01,19
NLB073337_02,19
NLB074227_01,19
NLB075379_01,19
NLB070134_01,19
NLB146731_01,20
NLB072154_01,20
NLB072382_02,20
NLB074533_01,20
NLB070839_01,20
NLB073287_02,20
NLB074003_01,20
NLB073562_01,20
NLB072250_01,20
NLB073296_01,20
NLB070411_01,20
NLB073486_01,20
NLB070033_01,20
NLB074437_01,20
NLB070078_01,20
NLB074277_01,20
NLB075059_01,20
NLB075167_01,21
NLB072912_01,21
NLB075156_01,21
NLB070493_01,21
NLB073990_01,21
NLB070463_01,21
NLB147463_01,21
NLB073939_01,21
NLB074260_02,21
NLB071669_01,21
NLB074276_01,21
NLB072881_01,22
NLB073210_01,22
NLB073628_01,22
NLB125421_01,22
NLB076625_01,22
NLB075612_01,22
NLB075249_01,22
NLB073483_01,22
NLB073639_01,22
NLB070606_01,22
NLB073287_01,22
NLB072614_01,22
NLB070125_01,22
NLB075064_01,22
NLB074427_01,22
NLB071237_01,22
NLB071958_01,22
NLB072967_01,22
NLB073588_01,22
NLB072585_01,22
NLB070532_01,22
NLB070141_01,22
NLB073286_01,22
NLB074583_01,22
NLB073929_01,22
NLB072691_01,22
NLB074649_01,22
NLB072690_01,22
NLB073304_01,22
NLB070492_01,22
NLB072823_01,22
NLB144100_01,22
NLB075068_01,22
NLB072871_01,22
NLB111478_01,22
NLB072565_01,22
NLB072665_01,22
NLB073331_01,22
NLB073771_02,22
NLB072897_01,22
NLB075018_02,23
NLB074552_01,23
NLB073046_01,23
NLB073997_01,23
NLB075551_01,23
NLB074426_02,23
NLB075309_02,23
NLB070144_01,23
NLB072237_01,23
NLB144072_01,23
NLB072688_01,23
NLB072883_01,23
NLB072627_01,23
NLB072813_01,23
NLB072714_01,23
NLB072254_01,23
NLB073743_01,23
NLB072378_01,23
NLB141251_01,23
NLB070801_01,23
NLB075367_01,23
NLB073822_01,23
NLB074261_01,23
NLB075635_01,23
NLB074470_01,23
NLB070526_01,23
NLB111656_01,23
NLB075174_01,23
NLB075431_01,23
NLB074048_02,23
NLB073994_01,23
NLB075063_01,23
NLB073374_01,23
NLB075079_01,23
NLB076740_01,23
NLB075021_01,23
NLB072708_01,23
NLB074328_01,23
NLB074157_01,24
NLB074769_01,24
NLB151180_01,24
NLB070238_01,24
NLB072920_01,24
NLB072497_01,24
NLB070693_01,24
NLB141648_01,24
NLB074468_01,24
NLB070740_01,24
NLB145856_01,24
NLB111484_01,24
NLB146699_01,24
NLB073991_02,24
NLB074182_01,24
NLB073225_01,24
NLB152778_01,24
NLB143240_01,24
NLB072647_01,24
NLB074028_01,24
NLB073225_02,24
NLB073946_01,24
NLB072946_01,24
NLB074452_01,24
NLB073311_01,24
NLB073775_02,24
NLB072355_01,24
NLB070122_01,24
NLB074613_02,24
NLB075318_01,24
NLB073426_01,24
NLB073404_01,24
NLB073709_01,24
NLB073146_01,24
NLB072567_01,24
NLB072754_01,24
NLB074575_01,24
NLB112115_01,24
NLB074336_01,24
NLB076211_01,24
NLB125427_01,24
NLB073750_01,24
NLB070521_01,24
NLB072457_01,24
NLB073879_02,24
NLB074286_01,24
NLB076632_01,24
NLB074156_03,24
NLB074161_01,25
NLB072287_01,25
NLB073888_01,25
NLB076118_01,25
NLB072003_01,25
NLB072288_01,25
NLB162526_01,25
NLB167193_01,25
NLB075176_01,25
NLB141407_01,25
NLB112233_01,25
NLB073895_01,25
NLB075307_03,25
NLB073298_01,25
NLB070089_01,25
NLB076495_01,25
NLB072638_01,25
NLB146728_01,25
NLB073681_01,25
NLB073998_01,25
NLB072285_01,25
NLB074234_01,25
NLB074769_02,25
NLB074603_01,25
NLB073754_02,25
NLB074593_01,25
NLB112210_01,25
NLB072085_01,25
NLB071957_03,25
NLB073393_01,25
NLB124573_01,25
NLB152784_01,25
NLB073897_01,25
NLB070096_01,25
NLB074948_01,25
NLB076426_01,25
NLB072255_01,25
NLB075158_01,26
NLB073958_01,26
NLB076303_01,26
NLB073516_01,26
NLB072286_01,26
NLB073324_01,26
NLB076128_01,26
NLB074754_01,26
NLB071064_01,26
NLB074954_01,26
NLB070053_01,26
NLB072356_02,26
NLB073031_01,26
NLB072257_01,26
NLB074433_01,26
NLB072898_01,26
NLB072357_01,26
NLB071227_01,26
NLB072851_02,26
NLB075073_01,26
NLB073992_01,26
NLB141314_01,26
NLB072355_12,26
NLB072284_01,26
NLB074860_01,26
NLB134474_01,26
NLB075013_01,26
NLB075034_01,26
NLB075184_01,26
NLB074443_01,26
NLB072664_01,26
NLB072360_01,26
NLB072015_01,26
NLB072355_02,26
NLB073339_01,26
NLB071944_01,26
NLB075771_02,26
NLB070475_01,26
NLB073788_01,26
NLB073626_01,26
NLB073804_02,26
NLB074334_01,26
NLB075906_01,27
NLB134389_01,27
NLB072289_01,27
NLB071014_01,27
NLB074104_01,27
NLB074342_01,27
NLB075035_01,27
NLB074840_01,27
NLB072851_01,27
NLB072624_01,27
NLB075074_01,27
NLB072898_02,27
NLB072721_01,27
NLB074100_01,27
NLB073777_01,27
NLB074007_01,27
NLB073803_01,27
NLB072505_01,27
NLB075191_01,27
NLB074840_02,27
NLB070137_01,27
NLB074308_01,27
NLB072837_01,27
NLB075057_01,27
NLB073685_01,27
NLB075616_01,27
NLB070535_01,27
NLB073862_01,27
NLB072103_01,27
NLB074038_01,27
NLB072450_01,27
NLB070732_01,27
NLB074378_02,27
NLB072283_01,27
NLB071082_01,27
NLB074166_01,27
NLB075065_01,27
NLB075831_01,27
NLB075532_01,27
NLB073277_01,27
NLB112123_01,27
NLB073333_01,27
NLB162519_01,27
NLB072441_01,27
NLB071016_01,28
NLB074938_01,28
NLB111760_01,28
NLB070748_01,28
NLB146741_01,28
NLB071369_01,28
NLB075273_01,28
NLB074672_01,28
NLB076258_01,28
NLB074956_01,28
NLB072587_01,28
NLB072499_01,28
NLB072587_02,28
NLB073672_01,28
NLB162684_01,28
NLB076130_07,28
NLB072482_01,28
NLB075848_01,28
NLB074077_02,28
NLB141649_01,28
NLB076076_01,28
NLB072358_01,28
NLB075325_01,29
NLB075739_03,29
NLB071478_01,29
NLB075313_01,29
NLB073269_02,29
NLB074349_01,29
NLB073076_01,29
NLB070360_01,29
NLB075325_02,29
NLB074246_01,29
NLB072774_02,29
NLB074246_02,29
NLB073120_01,29
NLB076271_01,29
NLB074309_01,29
NLB074547_02,30
NLB073866_01,30
NLB144042_01,30
NLB072895_01,30
NLB075742_01,30
NLB145525_01,30
NLB072559_01,30
NLB074004_01,30
NLB070996_01,30
NLB072862_01,30
NLB072968_01,31
NLB075881_02,31
NLB146608_01,31
NLB072500_01,31
NLB072553_01,31
