,title,root
610,Miss Ramsay  (reel),2
611,Dan Patsy's Slide,7
612,Tell Her I Am,7
613,Sally's Broomstick,2
614,"Setting of the Sun (reel), The",2
615,"Corner House (reel), The",9
616,Brown's Hornpipe,2
617,John Slattery's Reel,9
618,Malloy's Favorite (reel),7
619,"Ladies' Pantalettes (reel), The",7
620,"Killinure Reel , The",9
621,Lady Gordon's  (reel)(1),2
622,"Kinvara Reel , The",7
623,"Dooagh Polka , The",7
624,Old Tipperary,7
625,Morrison's,4
626,"Loughill Hornpipe, The",7
627,Come Upstairs with Me,7
628,Sliabh Russell,9
629,"Duke's Retreat  (hornpipe), The",4
630,Quinn's Reel 1,2
631,Peacock's Feather 1 (hornpipe),2
632,"Duke of Leinster (reel), The",7
633,Brosna Slide,9
634,Bonny Anne (reel),2
635,"Whinny Hills of Leitrim, The",7
636,"Green Fields of America (reel), The",7
637,"Rose in the Heather, The",2
638,"Boys of the Lake (reel), The",7
639,Mrs. Ross' Jig,2
640,Jackson's Rambles,2
641,"Pretty Brown Girl, The",7
642,Elizabeth Kelly's,9
643,Travers' Reel,7
644,"Calendar Jig, The",4
645,Foxhunter Reel,9
646,Miss Ramsey (reel),2
647,Kiss the Bride in Bed (reel),2
648,Wellington's Reel,9
649,Miss McLeod's Polka,2
650,Paddy O Rafferty,7
651,Bashful Bachelor 2 (hornpipe),7
652,Farewell to Erin (reel),2
653,I'd Rather Be Married than Left (slide),2
654,Mayor Harrison's Fedora (reel),4
655,Miss Johnston (reel),7
656,Tom Connors' (hornpipe),7
657,Old John's,9
658,"Mount Collins Reel, The",9
659,"Coach Road to Sligo, The",7
660,"Ballinafad Fancy  (polka), The",7
661,Liam's Reel,7
662,Jenny's Folly (reel),2
663,Gold Ring on You,2
664,Regan's,2
665,Maggie Shanley's Slide,9
666,Cuckoo's Nest (hornpipe),7
667,Jenny Tie Your Bonnet (reel),9
668,Orange and Green,7
669,"Noon Lasses (reel), The",7
670,Tony Lowe's (polka),7
671,John Kelly's Slide,2
672,Knocknagow 2,9
673,All the Way to Galway (reel),2
674,Ganley's Jig,2
675,Master McDermott's (reel),2
676,"Lass Among the Primroses (reel), The",4
677,"Boys of Malin (reel), The",9
678,Ledlow's Chimes (reel),7
679,"Lad Who Can Do It, The",2
680,"Pride of Ahamore (reel), The",2
681,Elizabeth Kelly's Delight (sj),9
682,Wallace's Cross (polka),2
683,Old Hag Beware!  (slide),7
684,Tom Ward's Downfall (reel),7
685,"Clar Hornpipe , The",7
686,Boil the Kettle Early (reel),2
687,"Horse Hill Slide , The",7
688,Ballykeal Jig,7
689,"Dairy Maid, The",4
690,"Clonmel Fiddler  (polka), The",4
691,Porter or Buttermilk  (hornpipe),2
692,Tear the Calico (reel)(1),7
693,Joe Derrane's,2
694,Lord Gordon (reel)(2),2
695,"Soldier's Joy, The",7
696,"Hunter's Prize  (polka), The",2
697,Mick Hand's (reel),9
698,"Kerry Cow (polka), The",2
699,Paddy O'Brien's Hornpipe,2
700,"Black-Eyed Sailor  (reel), The",7
701,"Reens Polka , The",2
702,"Gatehouse Maid (reel), The",9
703,Colonel Rogers (reel),7
704,Dan O'Keeffe's Slide,7
705,Tom Billy's,9
706,Dark Girl Dressed in Blue (2) (polka),2
707,Bob and Joan (Stoneybatter),7
708,Coleman's Cross (reel),4
709,"Beauty Spot (reel), The",2
710,Quinn's Reel 2,2
711,Trim the Velvet (reel),7
712,Eleanor Kane's  (reel),7
713,"Daisy Fields (reel), The",2
714,"Grand Gates of Annesbrook (reel), The",9
715,"Gimlet ( Gimblet ), The",7
716,Top of Maol  (polka),4
717,Red Sky at Sunset,2
718,"New Policeman (reel), The",7
719,It's an Ill Wind,7
720,Basket of Eggs 2 (1666 jig),7
721,"Rover Reel, The",7
722,Over the Hill (reel),2
723,Annamaculeen Reel,4
724,"Toormore Jig, The",2
725,"Miller's Daughter 2 (reel), The",7
726,Jackie Fitzpatrick's (reel),9
727,"Dark Girl Dressed in Blue [1] (slide), The",2
728,Sean Frank (reel),4
729,Dinny Mescall's Slide,7
730,"Maid of the Glen (reel), The",2
731,Mickey Callaghan's Jig,2
732,O'Connell's Welcome to Parliament,7
733,"Controversial Reel, The",7
734,Molly Murphy's Reel,7
735,"Banard Jig, The",2
736,"Spring Field Jig , The",7
737,Mungo Kelly (reel),7
738,"Wren Hornpipe, The",9
739,"Humors of Kesh, The",7
740,"Highlander's Kneebuckle (reel), The",7
741,"Sparrow's Nest , The",2
742,Rowsome's Kerry Jig,9
743,Maurice Manley's (polka),9
744,If I Had a Wife,7
745,Paddy Taylor's (reel),2
746,Wallop the Spot,2
747,Tom Dowd's Favorite (reel),4
748,Knocknagow 1,9
749,"Sailor's Farewell (reel), The",7
750,"Humors of Ederney (reel), The",9
751,"Lady on the Lake (reel), The",4
752,"Pride of Kildare (reel), The",2
753,Baile an tSamhraidh,4
754,Brian o Laimhin (reel),7
755,Tim Mulloney's (reel),7
756,"Prayer Is Better Than a Tune,A",9
757,All the World Loves Me (reel),7
758,"Maulykevane Jig, The",9
759,Con Curtin's Big Balloon,4
760,Banish Misfortune,2
761,Tipperary Hills,2
762,Green-Gowned Lass (reel),7
763,Mrs. Galvin's Fancy (h'pipe),2
764,Castle of Gold (hornpipe),7
765,"Second-Hand Car  (reel), The",2
766,Pay the Reckoning,7
767,Miss Langford (reel),2
768,Moloney's Flute  (reel),7
769,Paddy Byrne's Quick Step,7
770,"Maid In the Cherry Tree (reel), The",9
771,Quinn's Jig,7
772,"Dublin Lasses (reel), The",4
773,Jack Wade the Piper  (reel),4
774,"Cordal Jig, The",2
775,Lighting the Lamps  (reel),2
776,Jer the Rigger (polka),9
777,Wren Hornpipe,9
778,"Glasslough Reel, The",9
779,"Hawthorn Jig, The",7
780,As I Went Out Upon the Ice (polka),9
781,"Elm Grove , The",7
782,Callaghan's Progress,2
783,James Gannon's Delight,2
784,Killoran's 2 (polka),7
785,"Drimcong Jig, The",9
786,"Sword in Hand (reel), The",7
787,"Rambler, The",9
788,Fair Wind (reel),9
789,"Stone Church Polka , The",2
790,"Wexford Reel, The",2
791,Bill Harte's Reel,7
792,Oliver's Own  (reel),7
793,Walsh's (reel),7
794,Mooney's Reel,7
795,Dispute at the Crossroad (reel),4
796,"Leitrim Fancy, The",4
797,"Flowers of Red Hill (reel), The(1)",9
798,Wise Nora,7
799,Tonra's Jig,2
800,O'Shaughnessy's Reel,7
801,Jerry Joe & George  (polka),2
802,How's the Wife   (hornpipe),7
803,Boring the Leather,7
804,"Tailor's Thimble (reel), The",9
805,Lord Banff's Reel,2
806,John Doherty's Reel (2),9
807,"Ship Doctor, The",4
808,Bonnie Kate (second version) (reel),2
809,"Wonders of Mayo , The",2
810,Roll Her in the Haystack (reel),2
811,Nelson's Pillar (reel),2
812,"Promenade Side-Step, The",9
813,Miss Thornton's (reel),7
814,Bill Harte's,2
815,Kelly's Merry Thatcher  (reel),4
816,Gone for His Tea (reel),2
817,Con O'Flynn's Jig,7
818,"Trip to Yorkshire, The",7
819,Round the World (reel),4
820,Let's Be Drinking!(1),9
821,"Galtee Rangers (reel), The",2
822,Ashmolean House (reel),2
823,"Hielanman's Kneebuckle (reel), The",2
824,Christmas Night,2
825,"Master's Flax in Bloom (reel), The",2
826,Fair and Forty (hornpipe),7
827,"Cabin Hunter (reel), The",4
828,Farrell O'Gara (reel),2
829,Preston's Reel,7
830,"Congress (reel), The",9
831,"Man from Dungannon  (reel), The",9
832,McGoldrick's Reel,2
833,Bonnie Kate (first version) (reel),2
834,John O'Dwyer of the Glen (set dance),2
835,John Joe Gannon's (hornpipe),7
836,"Pretty Welsh Maid  (reel), The",7
837,"Blacksmith Reilly's Reel, The",2
838,Anderson's  Reel,2
839,"High Jig, The",9
840,"Lark in the Morning, The",2
841,"Unfortunate Rake, The",4
842,"Tune of the Rag (reel), The",7
843,Miss Cassidy (reel),7
844,Molly From Longford,9
845,McDermott's (hornpipe),2
846,Farewell to Leitrim  (reel),2
847,Tenpenny Bit,7
848,"Day I Met Tom Moylan (reel), The",4
849,"Collegians of Glasgow (reel), The",4
850,Padraig O'Keeffe's Slide (2),2
851,"Cornhill Reel, The",2
852,"Banks of Newfoundland, The",7
853,"Shepherd's Daughter  (reel), The",2
854,"Sunny Banks (reel), The",2
855,"Mountain Top (reel), The",7
856,Paddy O'Rafferty 2,7
857,"Lark on the Strand, The",7
858,Another Round of Punch!,7
859,Bees in the Cherry Tree,7
860,Little Red Rock (reel). The,2
861,"Boyne Water (hornpipe), The",9
862,Gillespie's Hornpipe,7
863,Fahy's Jig,7
864,Dan Sweeney's  2 (polka),9
865,"Spey in Spate (reel), The",2
866,"Blackhaired Lass (reel), The",9
867,Last Night's Fun 2 (reel),2
868,Anac Cuan,4
869,"Bag of Spuds (reel), The",9
870,Tom Keane's (reel),9
871,"Skylark (reel), The",2
872,Hare in the Corn (1),2
873,Jimmy Ward's Jig,7
874,"Pretty Girls of Mayo (reel), The",7
875,"Fat of the Land  (reel), The",2
876,Lucy Campbell (reel)(1),2
877,"Game Cock, The",2
878,O'Connell's Reel,2
879,Tadeen the Donkey,7
880,Lomanach Cross (reel),7
881,Dan the Pump (reel),7
882,"New Post Office (reel), The",2
883,Miss Butler's (reel),7
884,Theresa Ryan's  (hornpipe),7
885,"Atlantic Wave (reel), The",7
886,Rip the Calico  (reel),2
887,"Bridal Polka, The",2
888,Jackson's Walk to Limerick,2
889,"Satin Slipper Reel [2], The",2
890,"Luck Penny, The",7
891,Willie Coleman's,7
892,"Crosses of Annagh  2 (reel), The",9
893,"Woman of the House (reel), The",7
894,"Wandering Minstrel, The",2
895,"Pub at the Crossroads  (hornpipe), The",9
896,"Humors of Ballinacarrig (reel), The",4
897,"Captain from Cavan  (polka), The",2
898,Lord McDonald's (reel),7
899,Dillane's Hornpipe,2
900,"Ballina Lass  (reel), The",7
901,O'Shea's the Man!  (reel),7
902,McDonagh's Apples,2
903,"West Window , The",2
904,Glenn Owen (reel),2
905,"Volunteer Reel, The",7
906,"Reel of Mullinavat (reel), The",4
907,Down the Gort Road  (reel),7
908,Ryan's Rant (reel),0
909,"Perfect Cure, The",2
910,"Glenside Cottage (reel), The",4
911,Flaherty's (hornpipe),2
912,Tie the Ribbons (reel),7
913,"Nightingale , The",9
914,Fowney's Fancy  (polka),4
915,Priest of the Boots,2
916,Carey's Dream (reel),2
917,"Lads of Laois (reel), The",4
918,"Rising Sun (a1) (reel), The",2
919,Why Didn't I Love Mary,7
920,"Glassan Slide , The",2
921,"Milltown Lasses (reel), The",0
922,Sporting Nell (reel),7
923,"Blackthorn Stick (reel), The",2
924,Mullin's Favorite (reel),7
925,"Thatcher's Mallet (reel), The",7
926,Ireland Forever,9
927,Bolton Street (reel),4
928,Taylor's Fancy (slide),2
929,Ginley's Fancy (reel),4
930,Ask My Father,7
931,Jack and Jill (reel),4
932,Paddy O'Rafferty 1,2
933,"Butcher's March [i], The",7
934,"Bucks of Oranmore (reel), The",2
935,"Old Grey Gander (reel), The",9
936,"White Cockade (polka), The",7
937,"Hills of Kesh (reel), The",9
938,Stay for Another While (reel),2
939,O'Connell's Trip to Parliament 2 (reel),2
940,"Bucks of Dublin, The",7
941,Church Hill,9
942,Humors of Carrigaholt (reel),2
943,Austin Tierney's  (reel),2
944,Gregory's Hornpipe,2
945,"Kaiser (slide), The",2
946,"Lass of Ballintra 1 (reel), The",7
947,"Green Fields of Glentown (reel), The",9
948,Tatter Jack Walsh,2
949,"Ranger (h'pipe), The",2
950,Kiss the Maid Behind the Barrel (reel)(1),7
951,Ballinasloe Fair (reel),9
952,Grandpa Tommy's Ceili Band 1 (reel),7
953,Courting Them All (reel),2
954,Reilly's (reel),4
955,Tommy Gunn's (reel),4
956,Curly Mike (reel),2
957,Joe Kilmurry's Jig,4
958,Crowley's Reel,2
959,Celia O'Gara,7
960,"Leitrim Piper , The",7
961,"Empire State Reel  #2, The",7
962,"Gowel Reel, The",4
963,Kitty in the Lane (reel),2
964,Fanning's Jig,7
965,When Sick Is It Tea You Want,2
966,"Shamrock Jig, The",9
967,Tom Hill's (hornpipe),2
968,Bresnahan's Frolics,4
969,Kiss the Maid Behind the Barrel (reel),7
970,"White Leaf (reel), The",7
971,"New Miss McLeod (reel), The",0
972,Antrim Rose (reel),2
973,"Farnaught Jig , The",7
974,"Silver Grove (hornpipe)  , The",2
975,Rakish Paddy (reel),2
976,Flogging Reel,7
977,Morrison's (reel),2
978,Bashful Bachelor 1 (hornpipe),7
979,Micho's Tent ( ) (reel),7
980,After the Hare  (reel),7
981,Cloone (reel),0
982,Mamma's Polka,2
983,"Newport Lass, The",2
984,Martin Mulhaire's (reel),7
985,Tumble the Tailor,7
986,"Kilkenny Jig, The",9
987,Dan Sweeney's  1 (polka),9
988,"Basket of Turf, The(1)",4
989,Mother's Delight (reel),2
990,"Foghorn Hornpipe , The",2
991,High Road to Linton (reel),9
992,Miss McGuinness'  (reel),7
993,Brother's Pipes  (reel),2
994,"Piper's Lord McDonald (reel), The",7
995,Peacock's Feather 2 (hornpipe),2
996,I Have a Bonnet (polka),7
997,Greig's Pipes (reel),7
998,"Limerick Blacksmith  , The",2
999,"Humors of Castlefinn (reel), The",4
1000,Big Barney's Jig,7
1001,"Rough Road (reel) , The",7
1002,Jaunting Car for Six,9
1003,Mulloy's Reel,2
1004,"Butcher's March [iii], The",7
1005,Mister Jones' Kerry Reel,7
1006,"Queen of the May (reel), The",4
1007,Paddy O'Brien's Reel,2
1008,"Drunken Gauger (set dance), The",7
1009,O'Callaghan's   (reel),7
1010,"Crooked Reel, The",9
1011,"Frieze Breeches, The",2
1012,"Long Hills of Mourne (reel), The",2
1013,"Ranting Widow  (reel), The",4
1014,"Irish Girl (reel), The",2
1015,Up & Down the Stairs,2
1016,"Portrush Jig, The",9
1017,"Game of Love (reel), The",4
1018,Jack Maguire's Reel,2
1019,Over the Moor to Peggy (reel),7
1020,"Piper's Favorite (reel), The",7
1021,"Pirate Ship  (reel), The",7
1022,Last Night's Fun,4
1023,Paddy Murphy's Wife (reel),2
1024,Anything for John Joe  (reel),2
1025,John Brennan from Sligo (reel),2
1026,Bonnie Kate (original version) (reel),2
1027,Mama's Pet (reel),9
1028,"Monk's Jig, The",9
1029,"Maid of [at] the Spinning Wheel, The",7
1030,Belles of St. Louis (reel),7
1031,Memories of Kesh (reel),2
1032,"Horseshoe, The",7
1033,"Shoemaker's Fancy , The",2
1034,Flowers of Doocastle  (reel),7
1035,"Kilbaha Reel, The",2
1036,"Dancing Master's  Reel  (polka), The",7
1037,Biddy Martin (polka),2
1038,My Love in the Morning,9
1039,Coppers and Brass,7
1040,"Contradiction (reel), The",7
1041,Knocknaboul Polka (2),7
1042,Stoney Batter,2
1043,Hag at the Kiln (slide),2
1044,Basket of Eggs 1,7
1045,Brandy With Breakfast  (reel),2
1046,"King of the Pipes, The",2
1047,"Ranting Widow (reel), The",4
1048,"Humors of Drinagh, The",2
1049,"Hazel Stick, The",7
1050,"Merry Boys of Fore (reel), The",2
1051,"Bat in the Belfry , The",2
1052,Sean McGovern's  (polka),2
1053,"Concertina Reel, The",2
1054,Carmel Mahoney Mulhaire (reel),0
1055,"Boy in the Tree (reel), The",9
1056,"Broken Lantern, The",2
1057,Miss Gunning's Delight  (reel),7
1058,Lord Gordon (reel),2
1059,"Green Groves of Erin (reel), The",9
1060,Killoran's 1 (polka),7
1061,"Irishman's Blackthorn (reel), The",9
1062,Bogan's (reel),2
1063,Kane's (reel),2
1064,"Ashplant (reel), The",4
1065,"Pride of Rathmore  (reel), The",4
1066,Full Sails to Greenland  (reel),7
1067,Scully Casey's ( ) (hornpipe),2
1068,"Music Club (reel), The",2
1069,"Hut in the Bog (reel), The",9
1070,Lynch's (reel),4
1071,"Owenmore Polka , The",2
1072,"Crib of Perches (reel), The",2
1073,"Maid of Holywell (reel), The",2
1074,Kevin Mahon's (reel),2
1075,"Thrush in the Bush, The",7
1076,Josie McDermott's (reel),7
1077,"High Road to Dublin, The",2
1078,"Barrel of Wash (reel), The",2
1079,Paddy Fahy's Reel 3,0
1080,"Road to Boyle, The",2
1081,Groves of Gneeveguillia (polka),9
1082,Moving Bogs (reel),2
1083,"Sky Over Fenit  (reel), The",9
1084,Gerry Cronin's (reel),0
1085,Riley's Reel,4
1086,Mind the Step,7
1087,Mrs.Long's Tartan Plaid  (reel),2
1088,Nellie Mahoney's Slide,7
1089,Dillon Brown (reel),9
1090,Jenny And The Weasel (reel),2
1091,"Stone in the Field (reel), The",9
1092,Crehan's Fiddle,2
1093,"Wheels of the World, The",7
1094,Back of the Pipes  (reel),7
1095,"Limestone Rock (reel), The",7
1096,"Gossoon that Beat His Father (reel), The",9
1097,"South Road to Aran, The",2
1098,"Mount Scot Jig , The",7
1099,"Aghavas Reel 2, The",7
1100,Rolling in the Ryegrass 1 (reel),2
1101,"Lurgan Hornpipe, The",7
1102,"Achonry Lasses (reel), The",7
1103,"Rook on the Thatch  (reel), The",11
1104,"High Part of the Road, The",7
1105,"Moig Cross Slide , The",7
1106,Matt Hayes' Jig,2
1107,Ah Surely! (reel),7
1108,"Munster Slip, The",2
1109,"Badger's Fancy  (hornpipe), The",7
1110,My Love is Such a Fair One (reel),7
1111,Dinny O'Brien's (reel),2
1112,"Stage Reel, The",7
1113,"Blue Pantaloons (reel), The",2
1114,"King of Jigs , The",7
1115,Jackson's Reel,7
1116,"Girl with the Yellow Hair, The",7
1117,Molly Maguire (reel),7
1118,"Bog of Allen, The",2
1119,"Queen of the Rushes, The",2
1120,"Lassie at the Plow  (reel), The",2
1121,Jim Keeffe's Polka,2
1122,George Rawley's (h'pipe),9
1123,Mary's Dream (reel),2
1124,Martin Ansboro's (reel),4
1125,"Tirnaskea Lasses (reel), The",4
1126,"Limerick Squire , The",2
1127,Scatter the Mud,9
1128,Crosses of Annagh (reel),9
1129,Breen's Hornpipe,9
1130,"Pivot Hornpipe, The",2
1131,Mickey Murphy's Slide,2
1132,"New Frock, The",9
1133,Tom's My Other Son  (polka),4
1134,"Tulla Reel (reel), The",4
1135,"Chattering Magpie (reel), The",7
1136,"Heather Breeze (reel), The",7
1137,"Monasterevin Fancy (reel), The",7
1138,"Hawthorn Blossom (reel), The",7
1139,Lucy McKenna's,9
1140,"Girl of the Big House, The",2
1141,"Yellow Wattle, The",7
1142,Roll Her in the Rushes (reel),9
1143,"Ahascragh Pig, The",2
1144,"Oak Tree (reel), The",2
1145,Dennis Cronin's Jig,9
1146,Laura's Delight,4
1147,Paddy Fahy's Reel 2,0
1148,"Autumn Leaves (reel), The",4
1149,Mrs. Crehan's (reel),7
1150,Boys on the Hilltop (reel),9
1151,Paddy Breen's,2
1152,"Pigeon on the Gate 2 (reel), The",7
1153,"East Clare Lassies  (reel), The",4
1154,Stafford's Reel,9
1155,Tommy Whelan's (reel),4
1156,Jackson's Jig,7
1157,"Piper's Chair, The",7
1158,Miss Thornton's (reel)(1),7
1159,Miss Kelly's Favorite (reel),4
1160,"Roscommon Reel, The",4
1161,John Fennell's Jig,4
1162,"East Part of Kerry  (polka), The",2
1163,Taidhg My Darling (reel),7
1164,Dash to Portobello (reel),4
1165,"Tynagh Jig, The",2
1166,"Butcher's March [ii], The",7
1167,"Templeglantine Reel 1, The",9
1168,Lackagh Cross (polka),7
1169,"Fairy Queen (hornpipe), The",2
1170,"Newpuck Reel, The",2
1171,"Tinker's Occupation (reel), The",2
1172,Johnny Mickey's Slide,2
1173,Glencolmcille (reel),2
1174,Jolly Banger (reel),7
1175,Doherty's King of the Pipers,2
1176,Jenny Dang the Weaver (reel),2
1177,"Lisheen Reel, The",2
1178,"Casheldoo Slide , The",7
1179,Walsh's Hornpipe,9
1180,"Dolly Varden (polka), The",7
1181,"Castlemahon Lasses (reel), The",7
1182,"Master's Drowsy Maggie (reel), The",4
1183,"Shores of Ballybunion (reel), The",7
1184,"Reel of Darragh, The",2
1185,Mint in the Corn  (reel),2
1186,Dillon's Reel,7
1187,"Tinker's Apron (reel), The",9
1188,Daniel of the Sun,7
1189,Two and Sixpenny Girl,7
1190,"Liverpool Breakdown (h'pipe), The",7
1191,"Swallow's Tail (reel), The",9
1192,Top It Off,2
1193,Top to Bottom  (reel),7
1194,Alexander's March,4
1195,"Wild Ducks' Flight , The",2
1196,"Boys of Ballyscally, The",7
1197,Tarmon Polka,7
1198,Barrel Rafferty's,9
1199,Dan Sullivan's Fancy (hornpipe),7
1200,Bank of Turf (hornpipe),7
1201,"Maid At the Well, The",7
1202,"Strand Road , The",2
1203,"Cat that Ate the Candle (reel), The",2
1204,Crossing the Channel,2
1205,Glen Cottage (1) (polka),4
1206,"Rainy Day Jig, The",7
1207,Toss the Feathers (reel)(2),2
1208,"Mossy Banks (b) (reel), The",7
1209,June in Dublin  (reel),7
1210,"Boy in the Boat (reel), The",2
1211,Pat Ward's (slide),2
1212,Matt Peoples'  1  (reel),9
1213,Paddy Fahy's Reel 1,0
1214,Philip O'Beirne's Delight (reel),2
1215,Sonny's Limestone Rock (reel),7
1216,Dougan's Fancy (reel),2
1217,Jim McGuirk's Reel,7
1218,"Queen of the Ceili  (reel), The",2
1219,Master Henry's Reel,7
1220,Kilcummin Slide,7
1221,Johnny's Gone to France (reel),2
1222,"Game Cock (reel), The",2
1223,Willy Reidy's #2  (polka),7